"Matthaeus ";"Lectio sancti Evangélii secúndum Matthaeum.";"Lecture du saint Évangile selon Matthieu"
"Genesis ";"Lectio libri Genesis";"Lecture du Livre de la Genèse"
"Ad Timotheum II ";;
"Ioannes ";"Lectio sancti Evangélii secúndum Ioánnem. ";"Lecture du saint Évangile selon Jean"
"Actus Apostolorum ";;
"Ad Romanos ";"Lectio Epistolae Beati Pauli Apostoli ad Romanos.";"Lecture de l'Épitre du Bienheureux Paul apôtre aux Romains."
"Zacharias ";;
"Isaias ";;
"Exodus ";;
"Proverbia ";;
"Baruch";;
"Luc";"Lectio sancti Evangélii secúndum Lucam. ";
"Ad Corinthios II ";;
"Exodus ";;
"Marcus ";;
"Ioannis I ";;
"Deuteronomium ";;
