"Mois";;;"Jour";;;;;
1;;;3;"St Fulgence, évêque";"Mémoire obligatoire";;11;
1;;;8;"Sts Quodvultdeus et Deogratias, évêques";"Mémoire facultative";;12;
1;;;11;"Sts Victor Ier, Miltiade et Gélase Ier, papes";"Mémoire obligatoire";;11;
3;;;7;"Stes Perpétue et Félicité, et leurs compagnons, martyrs";"Fête";;8;
4;;;30;"Bienheureuse Vierge Marie d'Afrique";"Solennité";;4;
6;;;4;"St Optat, évêque";"Mémoire obligatoire";;11;
7;;;17;"St Spérat et ses compagnons martyrs";"Mémoire obligatoire";;11;
8;;;27;"Ste Monique";"Fête";;8;
8;;;28;"St Augustin, évêque et docteur de l'Eglise";"Solennité";;4;
8;;;30;"Sts Alypius et Possidius, évêques";"Mémoire obligatoire";;11;
9;;;10;"St Némésianus et ses compagnons, martyrs";"Mémoire facultative";;12;
9;;;12;"St Marcellin, martyr";"Mémoire facultative";;12;
9;;;16;"St Cyprien, évêque et martyr";"Solennité";;4;"Patron principal de l'Afrique du Nord"
10;;;1;"Ste Thérèse de l'Enfant-Jésus, vierge et docteur de l'Eglise";"Fête";;8;
10;;;30;"Sts Marcel et Maximilien, martyrs";"Mémoire obligatoire";11;;
11;;;3;"Saint François-Xavier, prêtre";"Fête";8;;
11;;;5;"Sainte Crispine, martyre";"Mémoire obligatoire";11;;
12;;;5;"Ste Crispine, martyre";"Mémoire obligatoire";;11;
