"Mois";"libre";;"Jour";"Intitulé";"Rang";"Couleur";"Rang";
1;;;6;"Bx frère André, religieux";"Mémoire facultative";;12;
1;;;12;"Ste Marguerite Bourgeois, religieuse";"Mémoire facultative";;12;
3;;;19;"Saint Joseph, époux de la Bienheureuse Vierge Marie";"Solennité";;4;"Patron principal du Canada"
4;;;17;"Bse Catherine Tekakwitha, vierge";"Mémoire facultative";;12;
4;;;18;"Bse Marie-Anne Blondin, religieuse";"Mémoire facultative";;12;
4;;;30;"Bse Marie de l'Incarnation, religieuse";"Mémoire facultative";;12;
5;;;4;"Bse Marie-Léonie Paradis, religieuse";"Mémoire facultative";;12;
5;;;6;"Bx François de Laval, évêque.";"Mémoire facultative";;12;
5;;;8;"Bse Catherine de Saint-Augustin, religieuse";"Mémoire facultative";;12;
5;;;21;"St Eugène de Mazenod, évêque";"Mémoire facultative";;12;
5;;;24;"Bx Louis-Zéphirin Moreau, évêque";"Mémoire facultative";;12;
7;;;26;"Sts Anne, patrone de la province du Québec et Joachim, parents de la bienheureuse Vierge Marie";"Fête";;8;
8;;;5;"Bx Frédéric Jansoone, prêtre.";"Mémoire facultative";;12;
9;;;4;"Bse Dina Bélanger, religieux";"Mémoire facultative";;;
9;;;23;"Bse Emilie Tavernier-Gamelin, religieuse";"Mémoire facultative";;12;
9;;;26;"Sts Jean de Brébeuf, et Isaac Jogues, prêtres et leurs compagnons, martyrs";"Fête";;8;"Patrons secondaires du Canada"
10;;;6;"Bse Marie-Rose Durocher, religieuse.";"Mémoire facultative";;12;
10;;;16;"Bse Marie-Marguerite d'Youville, religieuse";"Mémoire facultative";;12;
10;;;22;"Dédicace des églises consacrées dont on ne connaît pas la date de consécration.";"Solennité";;4;
12;;;12;"Bienheureuse Marie, Vierge de Guadalupe";"Fête";;8;"Patronne des Amériques"
