"Mois";;;"Jour";"Intitulé";"Rang";"Couleur";"Rang"
1;;;10;"S. Grégoire de Nysse, évêque";"Mémoire facultative";;12
1;;;15;"Sts Maur et Placide, disciples de NBP. S. Benoît.";"Mémoire obligatoire";"Blanc";10
1;;;17;"St Antoine, abbé.";"Mémoire obligatoire";"Blanc";10
1;;;26;"Sts Robert, Albéric et Etienne, abbés cisterciens";"Mémoire facultative";;12
;;;27;"Sts Timothée et Tite, évêques.";"Mémoire facultative";;12
1;;;27;"Ste Angèle Merici, vierge.";"Mémoire facultative";;12
2;;;10;"Ste Scholastique, vierge";"Mémoire obligatoire";"Blanc";10
2;;;11;"St Benoît d'Aniane, abbé";"Mémoire facultative";;12
2;;;11;"Bienheureuse Marie, vierge de Lourdes ";"Mémoire facultative";;12
3;;;9;"Ste Françoise Romaine, religieuse";"Mémoire obligatoire";"Blanc";10
3;;;21;"TRANSITUS DE N.B.P S. BENOIT, ABBE";"Solennité";;4
4;;;21;"St Anselme de Canterbury, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
5;;;11;"Sts Odon, Maieul, Odilon, Hugues, et le Bx Pierre le Vénérable, abbés de Cluny";"Mémoire obligatoire";"Blanc";10
5;;;25;"St Bède le Vénérable, prêtre et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
5;;;26;"St Grégoire VII, pape";"Mémoire facultative";;12
5;;;26;"Ste Marie-Madeleine de Pazzi, vierge";"Mémoire facultative";;12
5;;;26;"St Philippe Néri, prêtre";"Mémoire facultative";;12
5;;;27;"St Augustin de Cantorbéry, évêque";"Mémoire facultative";;12
7;;;11;"NBP St Benoît, abbé";"Solennité";"Blanc";4
7;;;12;"S. Jean Gualbert, abbé";"Mémoire facultative";;12
;;;19;"St Bernard Tolomei, abbé";"Mémoire facultative";;12
8;;;19;"St Jean Eudes, prêtre";"Mémoire facultative";;12
9;;;3;"St Grégoire le Grand, pape et docteur de l'Église";"Fête";"Blanc";8
9;;;8;"Nativité de la bienheureuse Vierge Marie";"Fête";"Blanc";7
9;;;29;"St Michel et tous les anges";"Fête";"Blanc";7
10;;;2;"Saints Anges Gardiens";"Mémoire facultative";;12
10;;;4;"St François d’Assise";"Mémoire obligatoire";"Blanc";10
10;;;6;"St Bruno, ermite";"Mémoire obligatoire";"Blanc";10
10;;;7;"Bienheureuse Marie, Vierge du Rosaire";"Mémoire obligatoire";"Blanc";10
11;;;11;"St Martin de Tours, évêque";"Fête";"Blanc";8
11;;;16;"Ste Gertrude, vierge";"Mémoire obligatoire";"Blanc";10
11;;;19;"Ste Mechtilde, vierge";"Mémoire facultative";;12
12;;;5;"S. Sabba, abbé";"Mémoire facultative";;12
