"Mois";"libre";;"Jour";"Intitulé";"Rang";"Couleur";"Rang"
2;;;19;"St Jean-Pierre Néel, prêtre";"Mémoire facultative";;12
2;;;27;"St Galmier, sous diacre";"Mémoire facultative";;12
4;;;2;"St Nizier, évêque.";"Mémoire facultative";;12
5;;;4;"St Jean-Louis Bonnard, prêtre et martyr";"Mémoire obligatoire";"Rouge";11
5;;;23;"Anniversaire de la Dédicace de la Cathédrale ";"Fête";;8
6;;;2;"St Pothin, évêque et Ste Blandine, vierge et leurs compagnons, martyrs";"Fête";;8
6;;;6;"Bx Marcellin Champagnat, prêtre";"Mémoire obligatoire";"Blanc";11
6;;;16;"St Jean-François Régis, prêtre";"Mémoire facultative";;12
9;;;2;"St Just, eveque de Lyon";"Mémoire facultative";;12
9;;;28;"St Ennemond, évêque de Lyon";"Mémoire facultative";;12
10;;;2;"Bx Antoine Chevier, prêtre";"Mémoire facultative";;12
10;;;2;"Les Saints Anges Gardiens ";"Mémoire facultative";;12
11;;;8;"Tous les saints du diocèse";"Mémoire facultative";;12
12;;;26;"St Étienne, protomartyr";"Fête";"Rouge";8
;;;;"Notre Dame de Fourvière - samedi de la 2éme semaine de Pâques";;;
